county_fips,year,state,county_name,dem_votes,rep_votes,dem_share,rep_share,turnout,population,mean_age,share_age_18_34,share_age_65_plus,share_college,share_no_hs,unemployment_rate,share_labor_force,median_wage,mean_wage,share_white,share_black,share_hispanic,share_poverty
17097,2016,ILLINOIS,LAKE,171095.0,109767.0,0.6091781729105397,0.3908218270894603,303520,2108975.0,37.44470275844901,0.21222062850436824,0.12647802842613118,0.30540570656361504,0.2412001090577176,0.05796823531770348,0.5439841629227469,42000.0,61914.346881483114,0.7888931827072393,0.06757026517621119,0.21224481086783864,0.08072764944467094
17097,2020,ILLINOIS,LAKE,204032.0,123594.0,0.6227588775005647,0.3772411224994353,334177,699596.0,38.18817574714549,0.21468247388492787,0.1425265438910457,0.3176633371259984,0.23089325839484504,0.05069570957095709,0.54138388441329,47000.0,68571.63405149459,0.726510729049337,0.06631970451517732,0.21935517069851743,0.06755810111245732
17097,2024,ILLINOIS,LAKE,184642.0,120402.0,0.6052962851260801,0.3947037148739198,310913,2845971.0,39.02897464520896,0.21548111347585763,0.16116538081378903,0.34078175779022346,0.21946885614786657,0.04731821494735963,0.5471823149287185,55000.0,75226.38725085543,0.6089187135076218,0.06593004637081686,0.24400037807834304,0.06702434470055274
17099,2000,ILLINOIS,LASALLE,23355.0,21276.0,0.5232909860859044,0.4767090139140956,46007,111308.0,38.31152298127718,0.19946454881949185,0.16582815251374564,0.08834046070363316,0.2580137995472024,0.05000363927505641,0.49372911201351205,23000.0,27671.26875022375,0.972275128472347,0.020977827290042047,0.05272756675171596,0.07388088100166139
17099,2008,ILLINOIS,LASALLE,27443.0,21872.0,0.5564838284497617,0.44351617155023826,50185,112048.0,39.25041053834071,0.20401970584035414,0.16318006568613452,0.1104883621305155,0.22403791232329,0.07552875194269883,0.5283092960159932,29580.0,35745.976676233615,0.9792142653148651,0.012940882478937599,0.06436527202627446,0.09310530789832089
17099,2012,ILLINOIS,LASALLE,23073.0,23256.0,0.4980249951434307,0.5019750048565693,47259,113059.0,39.908118769845835,0.20307096294854898,0.16539152124112189,0.10800555462192307,0.21377333958375716,0.11403776399199973,0.5218337328297614,29700.0,33908.40664041525,0.9670879806118929,0.029515562670817893,0.0820456575770173,0.1114803243458003
17099,2016,ILLINOIS,LASALLE,19543.0,26689.0,0.4227158677971967,0.5772841322028033,49743,333219.0,40.961241705905124,0.20477823893595504,0.18002274780249625,0.13539744132237358,0.2071970685945279,0.08585487795258868,0.49460865076721316,32000.0,37284.87813966907,0.9465126538402672,0.02540071244436842,0.09210159084566007,0.11090870223899324
17099,2020,ILLINOIS,LASALLE,22442.0,30113.0,0.4270193131005613,0.5729806868994387,53591,109301.0,41.24426126018975,0.19999817019057464,0.1896597469373565,0.13450014181023046,0.19657642656517324,0.05455467236415651,0.5052927237628201,35048.0,43222.34572111089,0.9148040731557808,0.029770999350417653,0.09849864136650167,0.10753350647381092
17099,2024,ILLINOIS,LASALLE,21029.0,30717.0,0.4063888996250918,0.5936111003749082,52508,109118.0,41.57938195348155,0.2102586191095878,0.19767591048223024,0.155703000421562,0.18665114829817261,0.08376599047262218,0.5136549423559816,40000.0,46766.47493384299,0.8518484576330211,0.01655088986235085,0.10599534448945179,0.11233946776115451
17111,2012,ILLINOIS,MCHENRY,59797.0,71598.0,0.4550934206020016,0.5449065793979984,133844,104701.0,37.18929141077927,0.19194659076799647,0.11039054068251497,0.22780107162300264,0.2261965024211803,0.09972894185035544,0.560252528629144,36000.0,50374.06081871345,0.9610318908128862,0.01586422288230294,0.12238660566756765,0.062234196093524485
